# --- new session ---
# t_rel	yaw_deg
35.30	+133.09
35.35	+133.61
35.40	+134.69
35.45	+136.01
35.50	+137.00
35.55	+138.60
35.60	+139.63
35.65	+141.09
35.70	+142.58
35.75	+143.61
35.80	+145.01
35.85	+145.90
35.90	+147.31
35.95	+148.81
36.00	+149.78
36.05	+151.17
36.10	+152.15
36.15	+153.69
36.20	+155.30
36.25	+156.42
36.30	+158.13
36.35	+159.90
36.40	+161.10
36.45	+162.86
36.50	+163.90
36.55	+165.25
36.60	+166.47
36.65	+167.66
36.70	+168.37
36.75	+169.24
36.80	+169.96
36.85	+171.22
36.90	+172.15
36.95	+173.61
37.00	+174.96
37.05	+176.20
37.10	+176.96
37.15	+178.03
37.20	+178.75
37.25	+179.75
37.30	-179.58
37.35	-178.46
37.40	-177.22
37.45	-176.02
37.50	-175.29
37.55	-174.61
37.60	-173.69
37.65	-173.13
37.70	-172.36
37.75	-171.90
37.80	-170.81
37.85	-170.16
37.90	-169.16
37.95	-168.55
38.00	-167.73
38.05	-167.00
38.10	-166.57
38.15	-165.97
38.20	-165.45
38.25	-165.13
38.30	-164.70
38.35	-164.44
38.40	-164.27
38.45	-164.30
38.50	-164.41
38.55	-164.46
38.60	-164.54
38.65	-164.55
38.70	-164.61
38.75	-164.67
38.80	-164.96
38.85	-165.27
38.90	-165.99
38.95	-166.31
39.00	-166.83
39.05	-167.28
39.10	-168.02
39.15	-168.46
39.20	-169.06
39.25	-169.59
39.30	-169.91
39.35	-170.34
39.40	-170.69
39.45	-171.36
39.50	-171.82
39.55	-172.64
39.60	-173.00
39.65	-173.34
39.70	-173.79
39.75	-174.19
39.80	-174.43
39.85	-174.76
39.90	-175.04
39.95	-175.30
40.00	-175.78
40.05	-176.06
40.10	-176.45
40.15	-176.79
40.20	-177.00
40.25	-177.36
40.30	-177.52
40.35	-177.74
40.40	-177.87
40.45	-178.19
40.50	-178.50
40.55	-178.68
40.60	-178.94
40.65	-179.15
40.70	-179.35
40.75	-179.52
40.80	-179.68
40.85	-179.77
40.90	-179.93
40.95	+179.99
41.00	+179.90
41.05	+179.81
41.10	+179.75
41.15	+179.69
41.20	+179.62
41.25	+179.58
41.30	+179.54
41.35	+179.49
41.40	+179.46
41.45	+179.41
41.50	+179.39
41.55	+179.37
41.60	+179.34
41.65	+179.32
41.70	+179.31
41.75	+179.28
41.80	+179.27
41.85	+179.25
41.90	+179.24
41.95	+179.23
42.00	+179.22
42.05	+179.22
42.10	+179.21
42.15	+179.20
42.20	+179.20
42.25	+179.19
42.30	+179.19
42.35	+179.18
42.40	+179.17
42.45	+179.18
42.50	+179.17
42.55	+179.17
42.60	+179.17
42.65	+179.16
42.70	+179.16
42.75	+179.16
42.80	+179.16
42.85	+179.16
42.90	+179.15
42.95	+179.16
43.00	+179.15
43.05	+179.15
43.10	+179.15
43.15	+179.15
43.20	+179.15
43.25	+179.15
43.30	+179.15
43.35	+179.15
43.40	+179.15
43.45	+179.15
43.50	+179.15
43.55	+179.15
43.60	+179.15
43.65	+179.14
43.70	+179.15
43.75	+179.15
43.80	+179.14
43.85	+179.15
43.90	+179.14
43.95	+179.15
44.00	+179.15
44.05	+179.14
44.10	+179.15
44.15	+179.15
44.20	+179.15
44.25	+179.15
44.30	+179.14
44.35	+179.15
44.40	+179.15
44.45	+179.14
44.50	+179.15
44.55	+179.14
44.60	+179.14
44.65	+179.15
44.70	+179.15
44.75	+179.15
44.80	+179.14
44.85	+179.15
44.90	+179.15
44.95	+179.14
45.00	+179.15
45.05	+179.15
45.10	+179.14
45.15	+179.15
45.20	+179.14
45.25	+179.15
45.30	+179.15
45.35	+179.14
45.40	+179.14
45.45	+179.14
45.50	+179.15
45.55	+179.15
45.60	+179.15
45.65	+179.15
45.70	+179.15
45.75	+179.14
45.80	+179.15
45.85	+179.14
45.90	+179.15
45.95	+179.14
46.00	+179.14
46.05	+179.14
46.10	+179.14
46.15	+179.14
46.20	+179.14
46.25	+179.14
46.30	+179.14
46.35	+179.14
46.40	+179.14
46.45	+179.14
46.50	+179.14
46.55	+179.14
46.60	+179.14
46.65	+179.14
46.70	+179.14
46.75	+179.14
46.80	+179.14
46.85	+179.14
46.90	+179.14
46.95	+179.14
47.00	+179.14
47.05	+179.14
47.10	+179.14
47.15	+179.14
47.20	+179.14
47.25	+179.14
47.30	+179.14
47.35	+179.14
47.40	+179.14
47.45	+179.14
47.50	+179.14
47.55	+179.14
47.60	+179.14
47.65	+179.14
47.70	+179.14
47.75	+179.14
47.80	+179.14
47.85	+179.14
47.90	+179.14
47.95	+179.14
48.00	+179.14
48.05	+179.14
48.10	+179.14
48.15	+179.14
48.20	+179.14
48.25	+179.14
48.30	+179.14
48.35	+179.14
48.40	+179.14
48.45	+179.14
48.50	+179.14
48.55	+179.14
48.60	+179.14
48.65	+179.14
48.70	+179.14
48.75	+179.14
48.80	+179.14
48.85	+179.14
48.90	+179.14
48.95	+179.14
49.00	+179.14
49.05	+179.14
49.10	+179.14
49.15	+179.14
49.20	+179.14
49.25	+179.14
49.30	+179.14
49.35	+179.14
49.40	+179.14
49.45	+179.14
49.50	+179.14
49.55	+179.14
49.60	+179.14
49.65	+179.14
49.70	+179.14
49.75	+179.14
49.80	+179.14
49.85	+179.14
49.90	+179.14
49.95	+179.14
50.00	+179.14
50.05	+179.14
50.10	+179.14
50.15	+179.14
50.20	+179.14
50.25	+179.14
50.30	+179.14
50.35	+179.14
50.40	+179.14
50.45	+179.14
50.50	+179.14
50.55	+179.14
50.60	+179.14
50.65	+179.14
50.70	+179.14
50.75	+179.14
50.80	+179.14
50.85	+179.14
50.90	+179.14
50.95	+179.14
51.00	+179.14
51.05	+179.14
51.10	+179.14
51.15	+179.14
51.20	+179.14
51.25	+179.14
51.30	+179.14
51.35	+179.14
51.40	+179.14
51.45	+179.14
51.50	+179.14
51.55	+179.14
51.60	+179.14
51.65	+179.14
51.70	+179.14
51.75	+179.14
51.80	+179.14
51.85	+179.14
51.90	+179.14
51.95	+179.14
52.00	+179.14
52.05	+179.14
52.10	+179.14
52.15	+179.14
52.20	+179.14
52.25	+179.14
52.30	+179.14
52.35	+179.14
52.40	+179.14
52.45	+179.14
52.50	+179.14
52.55	+179.14
52.60	+179.14
52.65	+179.14
52.70	+179.14
52.75	+179.14
52.80	+179.14
52.85	+179.14
52.90	+179.14
52.95	+179.14
53.00	+179.14
53.05	+179.14
53.10	+179.14
53.15	+179.14
53.20	+179.14
53.25	+179.14
53.30	+179.14
53.35	+179.14
53.40	+179.14
53.45	+179.14
53.50	+179.14
53.55	+179.14
53.60	+179.14
53.65	+179.14
53.70	+179.14
53.75	+179.14
53.80	+179.14
53.85	+179.14
53.90	+179.14
53.95	+179.14
54.00	+179.14
54.05	+179.14
54.10	+179.14
54.15	+179.14
54.20	+179.14
54.25	+179.14
54.30	+179.14
54.35	+179.14
54.40	+179.14
54.45	+179.14
54.50	+179.14
54.55	+179.14
54.60	+179.14
54.65	+179.14
54.70	+179.14
54.75	+179.14
54.80	+179.14
54.85	+179.14
54.90	+179.14
54.95	+179.14
55.00	+179.14
55.05	+179.14
55.10	+179.14
55.15	+179.14
55.20	+179.14
55.25	+179.14
55.30	+179.14
55.35	+179.14
55.40	+179.14
55.45	+179.14
55.50	+179.14
55.55	+179.14
55.60	+179.14
55.65	+179.14
55.70	+179.14
55.75	+179.14
55.80	+179.14
55.85	+179.14
55.90	+179.14
55.95	+179.14
56.00	+179.14
56.05	+179.14
56.10	+179.14
56.15	+179.14
56.20	+179.14
56.25	+179.14
56.30	+179.14
56.35	+179.14
56.40	+179.14
56.45	+179.14
56.50	+179.14
56.55	+179.14
56.60	+179.14
56.65	+179.14
56.70	+179.14
56.75	+179.14
56.80	+179.14
56.85	+179.14
56.90	+179.14
56.95	+179.14
57.00	+179.14
57.05	+179.14
57.10	+179.14
57.15	+179.14
57.20	+179.14
57.25	+179.14
57.30	+179.14
57.35	+179.14
57.40	+179.14
57.45	+179.14
57.50	+179.14
57.55	+179.14
57.60	+179.14
57.65	+179.14
57.70	+179.14
57.75	+179.14
57.80	+179.14
57.85	+179.14
57.90	+179.14
57.95	+179.14
58.00	+179.14
58.05	+179.14
58.10	+179.14
58.15	+179.14
58.20	+179.14
58.25	+179.14
58.30	+179.14
58.35	+179.14
58.40	+179.14
58.45	+179.14
58.50	+179.14
58.55	+179.14
58.60	+179.14
58.65	+179.14
58.70	+179.14
58.75	+179.14
58.80	+179.14
58.85	+179.14
58.90	+179.14
58.95	+179.14
59.00	+179.14
59.05	+179.14
