# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638641.108	   +0.0	  +0.0	 +4.9257	 +1.4785	    +3.332
1779638641.208	   +0.0	  +0.0	 +4.9712	+12.3977	    +0.401
1779638641.308	   +0.0	  +0.0	 +4.9790	-49.3316	    -0.101
1779638641.408	   +0.0	  +0.0	 +4.9900	 -4.4606	    -1.119
1779638641.508	   +0.0	  +0.0	 +4.9941	 -2.7222	    -1.835
1779638641.608	   +0.0	  +0.0	 +4.9969	 -1.8032	    -2.771
1779638641.708	   +0.0	  +0.0	 +4.9985	 -1.2302	    -4.063
1779638641.808	   +0.0	  +0.0	 +4.9989	 -1.0614	    -4.710
1779638641.908	   +0.0	  +0.0	 +4.9994	 -0.8405	    -5.948
1779638642.008	   +0.0	  +0.0	 +4.9996	 -0.6726	    -7.433
1779638642.108	   +0.0	  +0.0	 +1.3106	 +0.8608	    +1.523
1779638642.208	   +0.0	  +0.0	 -1.3705	 +0.6985	    -1.962
1779638642.308	   +0.0	  +0.0	 -4.0486	 -0.6571	    +6.161
1779638642.408	   +0.0	  +0.0	 -4.6882	 +2.1165	    -2.215
1779638642.508	   +0.0	  +0.0	 -4.8978	 -6.8428	    +0.716
1779638642.609	   +0.0	  +0.0	 -4.9665	 -1.0176	    +4.880
1779638642.708	   +0.0	  +0.0	 -4.9890	 +0.3921	   -12.723
1779638642.808	   +0.0	  +0.0	 -4.9971	 +2.2049	    -2.266
1779638642.908	   +0.0	  +0.0	 -4.9991	 +6.2327	    -0.802
1779638643.008	   +0.0	  +0.0	 -4.9997	-54.2104	    +0.092
1779638643.108	   +0.0	  +0.0	 -5.0000	 -3.5881	    +1.393
1779638643.208	   +0.0	  +0.0	 -4.0500	 -1.9053	    +2.126
1779638643.308	   +0.0	  +0.0	 -2.3915	 +0.1107	   -21.596
1779638643.408	   +0.0	  +0.0	 -0.7934	 -0.4777	    +1.661
1779638643.508	   +0.0	  +0.0	 +2.5061	 +0.1973	   +12.700
1779638643.608	   +0.0	  +0.0	 +3.5274	 +5.4739	    +0.644
1779638643.708	   +0.0	  +0.0	 +4.1304	 -2.1098	    -1.958
1779638643.808	   +0.0	  +0.0	 +4.4865	 -0.2879	   -15.583
1779638643.908	   +0.0	  +0.0	 +4.6968	 +0.9083	    +5.171
1779638644.008	   +0.0	  +0.0	 +4.8825	 +6.4736	    +0.754
1779638644.108	   +0.0	  +0.0	 +4.9049	+13.2611	    +0.370
1779638644.208	   +0.0	  +0.0	 +4.9590	 -5.7596	    -0.861
1779638644.308	   +0.0	  +0.0	 +4.9668	 -4.3454	    -1.143
1779638644.408	   +0.0	  +0.0	 +4.9871	 -2.0167	    -2.473
1779638644.508	   +0.0	  +0.0	 +4.9924	 -1.5019	    -3.324
1779638644.608	   +0.0	  +0.0	 +4.9955	 -1.1595	    -4.308
1779638644.708	   +0.0	  +0.0	 +4.9974	 -0.9136	    -5.470
1779638644.808	   +0.0	  +0.0	 +4.9986	 -0.6973	    -7.168
1779638644.908	   +0.0	  +0.0	 +4.9992	 -0.5612	    -8.908
1779638645.008	   +0.0	  +0.0	 +4.9996	 -0.4000	   -12.501
1779638645.108	   +0.0	  +0.0	 +4.9997	 -0.3679	   -13.591
1779638645.208	   +0.0	  +0.0	 +4.9999	 -0.2640	   -18.941
1779638645.308	   +0.0	  +0.0	 +4.9999	 -0.2062	   -24.252
1779638645.408	   +0.0	  +0.0	 +5.0000	 -0.1679	   -29.779
1779638645.508	   +0.0	  +0.0	 +5.0000	 -0.1260	   -39.669
1779638645.608	   +0.0	  +0.0	 +5.0000	 -0.1027	   -48.673
1779638645.708	   +0.0	  +0.0	 +5.0000	 -0.0837	   -59.712
1779638645.808	   +0.0	  +0.0	 +5.0000	 -0.0683	   -73.247
1779638645.908	   +0.0	  +0.0	 +5.0000	 -0.0580	   -86.249
1779638646.008	   +0.0	  +0.0	 +5.0000	 -0.0473	  -105.787
1779638646.108	   +0.0	  +0.0	 +5.0000	 -0.0327	  -152.761
1779638646.208	   +0.0	  +0.0	 +5.0000	 -0.0267	  -187.358
1779638646.308	   +0.0	  +0.0	 +5.0000	 -0.0218	  -229.794
1779638646.408	   +0.0	  +0.0	 +5.0000	 -0.0163	  -305.814
1779638646.508	   +0.0	  +0.0	 +5.0000	 -0.0133	  -375.031
1779638646.608	   +0.0	  +0.0	 +5.0000	 -0.0109	  -459.993
1779638646.708	   +0.0	  +0.0	 +5.0000	 -0.0085	  -587.656
1779638646.808	   +0.0	  +0.0	 +5.0000	 -0.0069	  -720.605
1779638646.908	   +0.0	  +0.0	 +5.0000	 -0.0057	  -883.733
1779638647.008	   +0.0	  +0.0	 +5.0000	 -0.0048	 -1040.534
1779638647.108	   +0.0	  +0.0	 +5.0000	 -0.0035	 -1442.080
1779638647.208	   +0.0	  +0.0	 +5.0000	 -0.0028	 -1768.474
1779638647.308	   +0.0	  +0.0	 +5.0000	 -0.0022	 -2259.245
1779638647.408	   +0.0	  +0.0	 +5.0000	 -0.0017	 -2887.631
1779638647.508	   +0.0	  +0.0	 +5.0000	 -0.0014	 -3690.523
1779638647.608	   +0.0	  +0.0	 +5.0000	 -0.0011	 -4525.055
1779638647.708	   +0.0	  +0.0	 +5.0000	 -0.0009	      +inf
