# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639464.772	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0032	  -154.111	 +0.0096	 +0.0095
1779639464.872	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0021	  +234.165	 +0.0060	 -0.0069
1779639464.972	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0032	  +157.655	 +0.0037	 -0.0023
1779639465.072	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0014	  -369.537	 +0.0037	 +0.0104
1779639465.172	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0038	  -131.749	 +0.0096	 +0.0123
1779639465.272	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0000	      +inf	 +0.0032	 +0.0002
1779639465.372	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0042	  -118.677	 -0.0010	 +0.0111
1779639465.472	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0007	      +inf	 -0.0040	 -0.0004
1779639465.572	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0031	  -163.077	 -0.0053	 -0.0035
1779639465.672	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0038	  -130.532	 +0.0068	 +0.0127
1779639465.772	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0034	  -145.512	 -0.0020	 +0.0105
1779639465.872	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0034	  +148.533	 -0.0006	 -0.0047
1779639465.972	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0033	  -152.306	 -0.0021	 +0.0051
1779639466.073	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0008	      +inf	 -0.0009	 +0.0066
1779639466.172	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0011	  +440.158	 +0.0084	 -0.0019
1779639466.272	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0038	  +130.467	 +0.0095	 +0.0061
1779639466.372	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0001	      +inf	 -0.0064	 +0.0071
1779639466.472	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 +0.0002	      +inf	 -0.0062	 +0.0022
1779639466.572	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0022	  -224.763	 -0.0035	 +0.0045
1779639466.672	  -10.0	  +1.0	 +0.5000	 -0.1453	    -3.441	 -0.0011	  -448.168	 +0.0005	 +0.0039
1779639466.772	  -10.0	  +0.0	 +0.5000	 -0.1453	    -3.441	 -0.0021	  -240.207	 +0.0044	 +0.0135
1779639466.872	  -10.0	  +0.0	 +0.2560	 -0.0744	    -3.441	 -0.0024	  -105.586	 -2.5567	 +0.0048
1779639466.972	  -10.0	  +0.0	 +0.0839	 -0.0244	    -3.441	 +0.0019	   +43.716	 -0.8465	 -0.0054
1779639467.072	  -10.0	  +0.0	 +0.0275	 -0.0080	    -3.441	 +0.0010	      +inf	 -0.2726	 +0.0089
1779639467.172	  -10.0	  +0.0	 +0.0072	 -0.0021	    -3.441	 +0.0030	    +2.391	 -0.0848	 +0.0089
1779639467.272	  -10.0	  +0.0	 +0.0030	 -0.0009	      +inf	 -0.0021	    -1.410	 -0.0328	 +0.0060
1779639467.372	  -10.0	  +0.0	 +0.0008	 -0.0002	      +inf	 -0.0044	    -0.174	 -0.0006	 -0.0025
1779639467.472	  -10.0	  +0.0	 +0.0003	 -0.0001	      +inf	 +0.0019	    +0.135	 +0.0067	 -0.0045
1779639467.572	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0013	    +0.025	 -0.0065	 -0.0075
1779639467.672	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0044	    +0.006	 +0.0015	 -0.0048
1779639467.772	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0009	      +inf	 -0.0036	 -0.0079
1779639467.872	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0051	    +0.000	 -0.0015	 -0.0058
1779639467.972	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0030	    +0.000	 -0.0029	 -0.0046
