# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639165.269	   +0.0	  +0.0	 +4.9973	 -8.1806	    -0.611	 +0.0007	      +inf	 +0.0209	 +2.2853
1779639165.369	   +0.0	  +0.0	 +4.9984	+21.0701	    +0.237	 -0.0006	      +inf	 +0.0258	 +2.4462
1779639165.469	   +0.0	  +0.0	 +4.9991	 +5.1994	    +0.961	 -0.0002	      +inf	 +0.0125	 +2.5910
1779639165.569	   +0.0	  +0.0	 +4.9995	 +2.7507	    +1.818	 -0.0009	      +inf	 +0.0135	 +2.7233
1779639165.669	   +0.0	  +0.0	 +4.9997	 +1.9323	    +2.587	 -0.0007	      +inf	 +0.0207	 +2.8426
1779639165.769	   +0.0	  +0.0	 +4.9998	 +1.5282	    +3.272	 +0.0003	      +inf	 +0.0134	 +2.8986
1779639165.868	   +0.0	  +0.0	 +4.9999	 +0.9707	    +5.151	 +0.0002	      +inf	 +0.0176	 +2.9934
1779639165.968	   +0.0	  +0.0	 +5.0000	 +0.7721	    +6.476	 -0.0005	      +inf	 +0.0180	 +3.0444
1779639166.069	   +0.0	  +0.0	 +5.0000	 +0.6196	    +8.070	 -0.0004	      +inf	 +0.0153	 +3.0849
1779639166.169	   +0.0	  +0.0	 +5.0000	 +0.4593	   +10.886	 +0.0003	      +inf	 +0.0321	 +3.1110
1779639166.269	   +0.0	  +0.0	 +5.0000	 +0.3882	   +12.879	 +0.0009	      +inf	 +0.0316	 +3.1474
1779639166.369	   +0.0	  +0.0	 +5.0000	 +0.3152	   +15.861	 +0.0009	      +inf	 +0.0214	 +3.1676
1779639166.469	   +0.0	  +0.0	 +5.0000	 +0.2563	   +19.506	 +0.0010	      +inf	 +0.0321	 +3.1697
1779639166.569	   +0.0	  +0.0	 +5.0000	 +0.1922	   +26.019	 +0.0007	      +inf	 +0.0165	 +3.2002
1779639166.669	   +0.0	  +0.0	 +5.0000	 +0.1631	   +30.660	 -0.0007	      +inf	 +0.0330	 +3.2076
1779639166.768	   +0.0	  +0.0	 +5.0000	 +0.1224	   +40.841	 +0.0009	      +inf	 +0.0216	 +3.2072
1779639166.869	   +0.0	  +0.0	 +5.0000	 +0.1128	   +44.324	 +0.0008	      +inf	 +0.0312	 +3.2153
1779639166.968	   +0.0	  +0.0	 +5.0000	 +0.0919	   +54.380	 +0.0006	      +inf	 +0.0307	 +3.2201
1779639167.069	   +0.0	  +0.0	 +5.0000	 +0.0587	   +85.240	 +0.0002	      +inf	 +0.0314	 +3.2331
1779639167.169	   +0.0	  +0.0	 +5.0000	 +0.0478	  +104.552	 +0.0007	      +inf	 +0.0297	 +3.2213
1779639167.269	   +0.0	  +0.0	 +5.0000	 +0.0374	  +133.576	 +0.0005	      +inf	 +0.0151	 +3.2417
1779639167.369	   +0.0	  +0.0	 +5.0000	 +0.0305	  +163.824	 -0.0003	      +inf	 +0.0296	 +3.2257
1779639167.469	   +0.0	  +0.0	 +5.0000	 +0.0249	  +200.923	 +0.0009	      +inf	 +0.0159	 +3.2434
1779639167.569	   +0.0	  +0.0	 +5.0000	 +0.0211	  +236.566	 +0.0010	      +inf	 +0.0180	 +3.2285
1779639167.669	   +0.0	  +0.0	 +5.0000	 +0.0172	  +290.141	 +0.0011	 +4748.164	 +0.0171	 +3.2401
1779639167.768	   +0.0	  +0.0	 +5.0000	 +0.0129	  +386.107	 +0.0001	      +inf	 +0.0260	 +3.2465
1779639167.868	   +0.0	  +0.0	 +5.0000	 +0.0097	  +513.821	 -0.0007	      +inf	 +0.0178	 +3.2447
1779639167.968	   +0.0	  +0.0	 +5.0000	 +0.0079	  +630.103	 +0.0006	      +inf	 +0.0282	 +3.2400
1779639168.068	   +0.0	  +0.0	 +5.0000	 +0.0062	  +805.030	 +0.0000	      +inf	 +0.0216	 +3.2351
1779639168.168	   +0.0	  +0.0	 +5.0000	 +0.0051	  +987.240	 -0.0009	      +inf	 +0.0297	 +3.2380
1779639168.268	   +0.0	  +0.0	 +5.0000	 +0.0040	 +1261.327	 +0.0003	      +inf	 +0.0330	 +3.2512
1779639168.369	   +0.0	  +0.0	 +5.0000	 +0.0032	 +1547.195	 -0.0006	      +inf	 +0.0241	 +3.2417
1779639168.469	   +0.0	  +0.0	 +5.0000	 +0.0026	 +1897.096	 -0.0000	      +inf	 +0.0235	 +3.2395
1779639168.568	   +0.0	  +0.0	 +5.0000	 +0.0021	 +2424.303	 -0.0007	      +inf	 +0.0150	 +3.2421
1779639168.669	   +0.0	  +0.0	 +5.0000	 +0.0017	 +2972.771	 -0.0003	      +inf	 +0.0291	 +3.2478
1779639168.768	   +0.0	  +0.0	 +5.0000	 +0.0014	 +3500.776	 +0.0011	 +4397.077	 +0.0225	 +3.2409
1779639168.869	   +0.0	  +0.0	 +5.0000	 +0.0012	 +4291.697	 +0.0005	      +inf	 +0.0234	 +3.2446
1779639168.969	   +0.0	  +0.0	 +5.0000	 +0.0010	      +inf	 +0.0006	      +inf	 +0.0313	 +3.2368
1779639169.069	   +0.0	  +0.0	 +5.0000	 +0.0007	      +inf	 -0.0006	      +inf	 +0.0277	 +3.2432
1779639169.168	   +0.0	  +0.0	 +5.0000	 +0.0005	      +inf	 -0.0002	      +inf	 +0.0149	 +3.2505
1779639169.268	   +0.0	  +0.0	 +5.0000	 +0.0004	      +inf	 -0.0003	      +inf	 +0.0346	 +3.2418
1779639169.368	   +0.0	  +0.0	 +5.0000	 +0.0003	      +inf	 +0.0005	      +inf	 +0.0190	 +3.2364
1779639169.468	   +0.0	  +0.0	 +5.0000	 +0.0003	      +inf	 +0.0000	      +inf	 +0.0248	 +3.2350
1779639169.568	   +0.0	  +0.0	 +5.0000	 +0.0002	      +inf	 -0.0000	      +inf	 +0.0200	 +3.2436
1779639169.669	   +0.0	  +0.0	 +5.0000	 +0.0002	      +inf	 +0.0009	      +inf	 +0.0287	 +3.2496
1779639169.768	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 +0.0003	      +inf	 +0.0169	 +3.2343
1779639169.868	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 -0.0003	      +inf	 +0.0349	 +3.2336
1779639169.968	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 -0.0001	      +inf	 +0.0225	 +3.2350
1779639170.068	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 +0.0007	      +inf	 +0.0276	 +3.2433
1779639170.168	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 -0.0005	      +inf	 +0.0186	 +3.2482
1779639170.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0007	      +inf	 +0.0272	 +3.2423
1779639170.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0161	 +3.2335
1779639170.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0000	      +inf	 +0.0319	 +3.2353
